Player Name,New Team,Date,New Date,,,,
Salah,SA,0,,,,,
Traore,Other,0,,,,,
Rahman,BDL,0,,,,,
Remy,EPL,0,,,,,
Kenedy,EPL,0,,,,,
Howard,Other,0,,,,,
Mcgeady,Other,0,,,,,
Diame,EPL,0,,,,,
Kante,EPL,0,,,,,
Sinclair,EPL,0,,,,,
Skrtel,Other,0,,,,,
Ibe,EPL,0,,,,,
Allen,EPL,0,,,,,
Flanagan,EPL,0,,,,,
Benteke,EPL,0,,,,,
Alberto,SA,0,,,,,
Balotelli,L1,0,,,,,
Markovic,Other,0,,,,,
Zinchenko,Dutch,1,,,,,
Hart,SA,0,,,,,
Bony ,EPL,0,,,,,
Mangala,LL,0,,,,,
Denayer,EPL,0,,,,,
Valdes,EPL,0,,,,,
Fletcher,EPL,0,,,,,
Januzaj,EPL,0,,,,,
Wanyama,EPL,0,,,,,
Mane,EPL,0,,,,,
Joselu,LL,0,,,,,
Giaccherini,SA,0,,,,,
Kaboul,EPL,0,,,,,
Lens,Other,0,,,,,
Gomis,L1,0,,,,,
Ayew,EPL,0,,,,,
Williams,EPL,0,,,,,
Fazio,SA,0,,,,,
Yedlin,EPL,0,,,,,
Bentaleb,BDL,0,,,,,
Chadli,EPL,0,,,,,
Mason,Other,0,,,,,
Njie,L1,0,,,,,
Layun,Other,0,,,,,
Suarez,LL,0,,,,,
Lambert,Other,0,,,,,
Tomkins,EPL,0,,,,,
Ramires,Other,0,,,,,
Djilobodji,BDL,0,,,,,
Roberts,Other,0,,,,,
Bamford ,EPL,0,,,,,
Ginkel,Dutch,1,,,,,
Atsu,LL,0,,,,,
Unal,Dutch,1,,,,,
Debuchy,L1,0,,,,,
Vlades,Other,0,,,,,
Townsend,EPL,0,,,,,
Pritchard,EPL,0,,,,,
Fazio,LL,0,,,,,
Grujic,Other,0,,,,,
Caulker,EPL,0,,,,,
Ramirez,EPL,0,,,,,
Shelvey,EPL,0,,,,,
Eder,L1,0,,,,,
Michu,Other,0,,,,,
Tabanou,L1,0,,,,,
Sidwell,Other,0,,,,,
Naismith,EPL,0,,,,,
Zarate,SA,0,,,,,
Jelavic,Other,0,,,,,
Jenkinson,EPL,0,,,,,
Gnabry,EPL,0,,,,,
Benalouane,SA,0,,,,,
Kramaric,BDL,0,,,,,
De Laet,EPL,0,,,,,
Thauvin,L1,0,,,,,
Coates,Other,0,,,,,
Alvarez,SA,0,,,,,
Fletcher,L1,0,,,,,
Pantilimon,EPL,0,,,,,
Mavrias,bdl,0,,,,,
Llori,EPL,0,,,,,
Atsu,EPL,0,,,,,
Diamanti,Other,0,,,,,
Ibarbo,Other,0,,,,,
